day_of_month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0,0,0,0,1,5,2,0,0,4,0,0
2,0,0,0,0,0,3,0,0,0,5,0,0
3,0,0,0,0,0,3,2,0,0,0,0,0
4,0,0,0,0,4,3,1,0,0,0,0,1
5,0,0,0,0,1,0,2,1,0,0,0,0
6,0,0,0,0,2,4,0,16,0,0,0,0
7,0,0,0,0,1,1,1,0,0,0,0,0
8,0,0,0,3,1,1,22,1,0,1,0,0
9,3,0,0,3,1,0,0,1,0,6,0,0
10,1,0,0,4,0,6,0,0,0,1,2,0
11,0,0,0,0,0,8,0,0,0,0,0,0
12,1,0,1,2,0,3,0,0,0,1,0,0
13,0,0,0,11,4,1,0,0,0,1,1,0
14,0,0,0,3,3,1,4,0,0,0,1,0
15,0,3,0,0,2,0,0,2,0,0,0,0
16,0,1,0,3,2,0,0,4,0,0,0,0
17,0,1,0,0,4,2,4,6,6,3,0,0
18,2,4,0,4,0,2,0,0,1,3,0,0
19,0,0,0,5,1,3,0,1,0,6,0,0
20,1,4,0,3,2,3,0,2,0,0,0,0
21,0,1,0,1,1,0,0,2,0,0,0,0
22,0,2,0,0,5,1,0,0,0,0,0,0
23,0,1,0,4,4,0,0,0,0,2,0,0
24,0,1,0,0,5,2,4,3,0,0,0,0
25,0,1,0,2,0,0,0,0,0,0,0,0
26,0,0,4,1,9,8,6,0,0,0,0,0
27,0,0,0,3,1,0,2,0,0,3,0,0
28,0,5,0,1,4,3,0,0,3,0,0,0
29,0,1,0,1,2,0,2,0,0,1,0,3
30,0,0,0,0,3,0,3,0,1,6,0,0
31,0,0,0,0,2,0,2,0,0,0,0,0
